en,zh-tw,zh-cn
page,頁面,
paper,紙張,
sheet,圖紙,
Derive,衍生,派生
Check,勾選,選中
duplicate,副本；複製,
item,項目,項
title block,標題欄,
cache,快取,緩存
template,模板,
document,文件,文檔
doc,文件,文檔
evironment variable,環境變數,變量
loaded,載入,加載
missing,遺失,缺失
read-only,唯讀,只讀
hardware,硬體,硬件
software,軟體,軟件
text,文字,文本
import,匯入,導入
export,匯出,導出
bitmap,點陣圖,位圖
save,儲存,保存
field,欄位,字段
simulation,模擬,仿真
grid,網格,柵格
character,字元,字符
User,使用者,用戶
render,算繪,渲染
memory,記憶體,內存
part,零件,元件；部件
component,元件,
element,元素,
SMD,表面黏著,貼片
Surface Mount,表面黏著,貼片
mark,標示,設置
database library,資料函式庫,數據庫庫
Fallback graphics,備用圖型,
Compatible,相容,兼容
power dissipation,消耗功率,耗散功率取
wizard,精靈 ,響導
information,資訊,信息
Courtyard collision shadow,外框衝突陰影顯示,
Loading board regions...,,
via ,通孔；貫孔,過孔
,品質,質量
,品質,網絡
Configuration,組態,
setting,設定,
object,物件,對象/物體
cursor,游標,光標
noise,雜訊,噪聲
noise generators,雜訊產生器,噪聲產生器
position,位置,座標
De Morgan,迪摩跟,
alternate,替代,備選
manager,管理員,管理器
silkscreen,絲印層,
anti-alias,反鋸齒,抗鋸齒
support,支援,支持
default,預設值,默認值
Default,預設,默認
process,行程,進程
global,全域,全局
operation system,作業系統,操作系統
license,授權,許可
permission,許可權,
field,欄位,字段
PPI,解析度,分辨率
dummy,虛構,
checkbox,勾選框,複選框
cancel,取消,放棄
Discard,放棄,
apple,套用,應用
Pending,待決,掛起
windows,視窗,窗口
menu,選單,菜單
database library,資料函式庫,數據庫庫
database,資料庫,數據庫
Compatible,相容,兼容
power dissipation,消耗功率,耗散功率
information,資訊,信息
Buses,匯流排,總線
library,庫,库
