en,zh-tw,zh-cn,zh-hk,zh,zh-mo,zh-my,zh-sg
Analog,類比,模拟,模擬,,,,
Audio,音訊,音频,,,,,
Channel,頻道,信道,頻道,,,,波道
Communication,通訊學,通信学,,,,通讯学,通讯学
Digital,數位,数字,數碼,,,数码,数码
information,資訊,信息,,,,资讯,资讯
integrated circuit,積體電路,集成电路,集成電路,,,,
logic gate,邏輯閘,逻辑门,邏輯門,,,,
Medium,媒介,,,,,,
Noise,雜訊,噪声,雜訊,噪聲,,杂讯,杂讯
P-N junction,P-N接面,P-N结,P-N結,,,,
P-n junction,P-n接面,P-n结,P-n結,,,,
p-n junction,p-n接面,p-n结,p-n結,,,,
PN junction,PN接面,PN结,PN結,,,,
Pn junction,Pn接面,Pn结,Pn結,,,,
pn junction,pn接面,pn结,pn結,,,,
Pulse,脈波,脉冲,脈衝,,,,
Serial,序列,串行,,,,,
signal,訊號,信号,訊號,,訊號,,信号
"Signal-to-noise ratio, SNR",訊雜比,信噪比,訊噪比,,,,
Signaling System Number 7,第七號發信系統,七号信令系统,七號信令系統,,,,
Video,視訊,视频,視像,,,,
Mobile communication,行動通訊,移动通信,流動通訊,,,,
modulation,調變,调制,調制,,,,
DM,差量調變,增量调制,,,,,
DPCM,脈波差量編碼調變,差分脉冲编码调制,,,,,
vestigial sideband,殘邊帶,残余边带,,,,,
amplitude,振幅,幅度,,,,,
PSK,相位移鍵,移相键控,,,,,
Time division,分時,时分,時分,,,,
Frequency division,分頻,频分,頻分,,,,
Code division,分碼,码分,碼分,,,,
TDMA,分時多重進接,时分多址,時分多址,,,,
FDMA,分頻多重進接,频分多址,頻分多址,,,,
CDMA,分碼多重進接,码分多址,碼分多址,,,,
SDMA,分空間多重進接,空分多址,空分多址,,,,
TDM,分時多工,时分复用,時分複用,,,,
FDM,分頻多工,频分复用,頻分複用,,,,
SDM,空間多工,空分复用,空分複用,,,,
WDM,波長分波多工,波分复用,波分複用,,,,
iDEN,整合數位強化網路,集成数字增强网络,,,,,
GPRS,通用封包無線服務,通用分组无线服务,,,,,
spread-spectrum,展譜,扩谱,,,,,
Signal-to-noise ratio,訊號雜訊比,信噪比,,,,,
Baud rate,鮑率,波特率,鮑率,,,,
Baud,鮑,波特,鮑,,,,
Network,網路,网络,網絡,,,,
Packet,封包,分组,,,,,
Cellular data,蜂巢式資料,蜂窝数据,蜂巢式數據,,,,
Cellular network,蜂巢式網路,蜂窝网络,蜂巢式網絡,,,,
Slot,時槽,时隙,,,,,
bit,位元,比特,,,,,位元
bitrate,位元速率,,位元速率,,位元速率,,
bit error,位元錯誤,比特差错,,,,,
block code,區塊碼,分组码,,,,,
error correcting code,錯誤更正碼,纠错码,除錯碼,,,,
error detecting code,誤差檢測碼,差错检测码,,,,,
forward error correction,前向錯誤更正,前向纠错,,,,,
perfect code,完整码,完备码,,,,,
Information theory,資訊理論,信息论,,,,,信息论
Sampling Theorem,取樣定理,采样定理,,,,,
Shannon,夏農,香农,山農,,,,
Analog Broadcasting,類比廣播,模拟广播,模擬廣播,,,,
Analog Television,類比電視,模拟电视,模擬電視,,模擬電視,,
Definition,解析度,清晰度,清晰度,,,,
Digital Broadcasting,數位廣播,数字广播,數碼廣播,數字廣播,,数码广播,数码广播
Digital Television,數位電視,数字电视,數碼電視,,數字電視,数码电视,数码电视
Digital Terrestrial Television,數位無線電視,地面数字电视,數碼地面電視,无线数字电视,地面數字電視,数码地面电视,数码地面电视
DVB-H,手持式數位視訊廣播,手持地面无线,手持式數碼視像廣播,,,,
External,外接,外置,外置,,,,
Set-top box,數位電視機上盒,机顶盒,數碼電視解碼器,,機頂盒,数码电视解码器,电视解码器
Television channel,電視頻道,电视频道,,,,,
terrestrial television,無線電視,地面电视,地面電視,,,,
USB Digital TV tuner,USB數位電視棒,USB数字电视棒,高清USB手指,,,,
USB TV Tuner,USB電視棒,USB电视棒,USB電視手指,,,,
Standard definition,標準畫質,标清,標清,,,,
High definition,高畫質,高清,高清,,,,
Full High definition/Full HD,1080P,高清,全高清,,,,
Ultra High definition,超高畫質,超高清,超高清,,,,
Call forwarding,來電轉駁,呼叫转移,,,,,
Information Technology,資訊科技,信息技术,,,,资讯科技,资讯科技
Cable,纜線,线缆,,,,,
Leakage cable,洩波電纜,泄漏电缆,,,,,
Landline,固網電信,固定电话,固網電話,,,,
Mobileline,移動電話,移动电话,流動電話,,,,
China Telecom,中國電信,中国电信,中國電信,,,,
China Mobile,中國移動,中国移动,中國移動,,,,
Service plan,服務專案,服务套餐,服務計劃,,,,服务配套
Frame,影格,帧,,,,,
Distortion,失真,失真,,,,,
low-fidelity (Lo-Fi),低傳真,低保真,低傳真,,,,
high fidelity (Hi-Fi),高傳真,高保真,高傳真,,,,
Smartone,數碼通,数码通,,,,,
Base Station,基地台,基站,基站,,,,
