en,zh-tw,zh-cn,zh-hk,", 'zh-cn",zh-mo,zh-my,zh-sg
AI,人工智慧,人工智能,人工智能,,,,人工智慧
access,存取,访问,存取,,存取,,
access control list,存取控制列表,访问控制表,,,,访问控制表,访问控制表
access Multiplexer,接取多工器,接入复用器,,,,,
access Point,存取點,接入点,,,,,
account,帳戶,账户,賬戶,,,,
activation,啟用,激活,,,,,
activation function,啟用功能,激活函数,,,,,
adapter,配接器,适配器,,,,,
add-on,附加元件,附加组件,,,,,
address,位址,地址,地址,,,,
address bar,網址列,地址栏,地址列,,,,
addressing,定址,寻址,定址,,,,
addressing modes,定址模式,寻址模式,定址模式,,,,
advanced,進階,高级,,,,,
advertising area,廣告區,广告位,,,,,
agent-oriented programming,代理人導向程式設計,面向代理编程,,,,,
album (online),相簿,相册,,,,,
algorithm,演算法,算法,,,,,
allocation unit,單位配置,分配单元,,,,,
analog,類比,模拟,模擬,,,,
analog broadcasting,類比廣播,模拟广播,模擬廣播,,,,
analog television,類比電視,模拟电视,模擬電視,,,,
antivirus,防毒,杀毒,,,,,
AOL,美國線上,美国在线,,,,,
application,應用程式,应用程序,,,,,
application programming interface,應用程式介面,应用程序接口,,,,,
archive,壓縮檔,压缩包,,,,,
array (RAID),陣列硬碟,阵列硬盘,,,,,阵列伺服器
array,陣列,数组,,,,,
assembler,組譯,汇编,,,,,
Assembly language,組合語言,汇编语言,匯編語言,,,,
assembly mnemonic,輔助記憶碼,助记符,,,,,
assignment operator,設定運算子,赋值运算符,設定運算子,,設定運算子,,
asynchrony,非同步,异步,非同步,,非同步,,
average bitrate,平均位元速率,平均码率,,,,,
audio,音訊,音频,音頻,,,,
audio track,音訊軌,音频轨,音頻軌,,,,
audio input,音訊輸入,音频输入,音頻輸入,,,,
audio output,音訊輸出,音频输出,音頻輸出,,,,
audio file,音訊檔,音频档,音頻檔,,,,
audio profiles,音訊設定檔,情景模式,,,,,
audit,稽核,审核,,,,,
augmented reality,擴增實境,增强现实,擴張實境,,,,
back chaining,反鏈結,反链接,,,,,
background traffic,背景流量,后台流量,,,,,
backward compatible,向下相容,,向下相容,,向下相容,,
bad sector,壞軌,坏道,,,,,
band width,頻寬,带宽,,,,,
base class,基礎類別,基类,,,,,
base name,主檔名,文件主名,,,,,
base type,基本類型,基类型,,,,,
baseband,基頻,基带,基帶,,,,
batch,批次處理,批处理,,,,,
batch file,批次檔,批处理文件,,,,,
batch programs,批次程式,批处理程序,,,,,
Berkeley Software Distribution,柏克萊軟體套件,伯克利软件套件,柏克萊軟件套件,,,,
big data,巨量資料,大数据,大數據,,,,
Bill Gates,蓋茲,盖茨,蓋茨,,,,
binary,二元,,二元,,二元,,
binary function,二元函數,双参函数,,,,,
binary heap,二元堆積,二叉堆,二叉堆積,,,,
binary linked list,二元連結串列,二叉链表,二元連結串列,,二元連結串列,,
binary search tree,二元搜尋樹,二叉搜索树,二叉搜尋樹,,二叉搜尋樹,,
binary tree,二元樹,二叉树,二叉樹,,,,
binding,繫結,绑定,,,,,
bit,位元,比特,位元,,位元,位元,位元
bit (4-bit),4位元,4位,,,,,
bit (8-bit),8位元,8位,,,,,
bit (12-bit),12位元,12位,,,,,
bit (16-bit),16位元,16位,,,,,
bit (18-bit),18位元,18位,,,,,
bit (24-bit),24位元,24位,,,,,
bit (31-bit),31位元,31位,,,,,
bit (32-bit),32位元,32位,,,,,
bit (36-bit),36位元,36位,,,,,
bit (48-bit),48位元,48位,,,,,
bit (60-bit),60位元,60位,,,,,
bit (64-bit),64位元,64位,,,,,
bit (80-bit),80位元,80位,,,,,
bit (128-bit),128位元,128位,,,,,
bit error rate,位元錯誤率,比特误码率,位元錯誤率,,位元錯誤率,,
bit field,位元欄,位段,,,,,
bit pattern,位元型樣,位模式,,,,位模式,位模式
bit string,位元串,位串,,,,,
Bitmap,點陣圖,位图,,,,,
bitrate,位元速率,比特率,位元速率,,位元速率,,
bitwise,按位元,按位,,,,,
bitwise operation,位元運算,位操作,位元運算,,位元運算,位操作,位操作
black box testing,黑箱測試,黑盒测试,,,,,
Blade Server,刀鋒伺服器,刀片服务器,,,,,
blank screen,黑畫面,黑屏,,,,,
block,完全屏蔽,完全屏蔽,,,,,
