en,zh-tw,zh-cn,zh-hk,zh,zh-mo,zh-my,zh-sg
account,帳號,账号,,,,,
account creator,大量帳號建立者,大量账号创建者,大量帳號建立者,,,,
advanced,進階,高级,,,,,
authority control,權威控制,规范控制,,,,,
block,封鎖,封禁,封鎖,,,,
change,變更,更改,,,,,
character,字元,字符,,,,,
copyright,著作權,著作权,版權,,著作權,,
copyright information,著作權資訊,著作权信息,,,著作權資訊,著作权信息,著作权信息
create,建立,创建,建立,,建立,,
custom,自訂,自定义,自訂,,,,
default,預設,默认,,,,,
file,檔案,文件,,,,文件,文件
file name,檔案名稱,文件名,,,,,
flood,機器使用者,机器用户,機械用戶,,,,
footnote,註腳,脚注,,,,,
Help:,說明:,帮助:,,,,,
Help talk:,說明討論:,帮助讨论:,,,,,
info (information),資訊,信息,,,,,
interface,介面,界面,,,,,
interface administrators,介面管理員,界面管理员,,,,,
IP block exemption,IP封鎖豁免,IP封禁豁免,,,,,
import,匯入,导入,匯入,,匯入,导入,导入
line breaker,換行字元,换行符,,换行字元,,,
link,連結,链接,連結,,連結,链接,链接
internal link,內部連結,,內部連結,,內部連結,,
external link,外部連結,,外部連結,,外部連結,,
red link,紅色連結,,紅色連結,,紅色連結,,
green link,綠色連結,,綠色連結,,綠色連結,,
blue link,藍色連結,,藍色連結,,藍色連結,,
link (here),連入,链入,,,,,
log details,日誌明細,日志详情,,,,,
login,登入,登录,,,,,
logout,登出,退出,登出,,登出,,
module,模組,模块,,,,模块,模块
namespace,命名空間,命名空间,命名空間,,命名空間,命名空间,命名空间
parser functions,解析器函數,解析器函数,解析器函數,,,,
preferences,偏好設定,参数设置,參數設置,,,,
project,專案,项目,專案,,專案,项目,项目
project page,計畫頁面,项目页面,專案頁面,,專案頁面,,
recent change,近期變更,最近更改,,,,,
redirect,重新導向,重定向,,,,,
redirect page,重新導向頁面,重定向页,重新導向頁面,,重新導向頁面,,
report,檢舉,举报,,,,,
sample,範例,示例,,,,,
skin,外觀,,外觀,,外觀,,
source code,原始碼,源代码,原始碼,,原始碼,原始码,原始码
string,字串,字符串,,,,,
template data,模板資料,模板数据,,,,,
template documentation,模板文件,模板文档,,,,,
through,透過,通过,,,,,
undo,復原,撤销,復原,,復原,,
user,使用者,用户,用戶,,,,
user group,使用者群組,用户组,用戶組,,,,
user page,使用者頁面,用户页,用戶頁,,,,
user right,使用者權限,,,,,,
userbox,使用者方塊,用户框,用戶框,,,,
username,使用者名稱,用户名,,,,用户名,用户名
view,檢視,查看,,,,,
visual,視覺化,可视化,,,,,
watchlist,監視清單,监视列表,,,,,
archives,檔案館,档案馆,,,,档案馆,档案馆
administrator intervention against vandalism,目前的破壞,当前的破坏,,,,,
cite,引用,引用,,,,,
commons,共享資源,共享资源,,,,,
global,全域,全域,,,,,
log,日誌,日志,,,,,
log entry,日誌項目,日志项目,,,,,
message,訊息,讯息,,,,,
native,本地的,本地的,,,,,
object,對象,对象,,,,,
perform,執行,执行,,,,,
procedure,程序,程序,,,,,
segment,區段,区段,,,,,
sign,簽名,签名,,,,,
support,支持,支持,,,,,
user namespace,使用者命名空間,,用戶命名空間,,用戶命名空間,,
community,社群,社群,,,,,
